[02.12.07 15:22] q :  Albo duński dynamit :) . 
[29.07.06 1:04] Ayertienna :  po 1 jeszcze nie skladalam nawet papierow, po 2 u nas byl w miare prosty, przynajmniej dla mnie, a po 3 bo ja formalnie mialam tylko czesc teoriomnogosciowa, reszta w sumie glownie na konsultacjach u cwiczeniowca ktory się w teorii krat specjalizował  
[29.07.06 1:04] yanoo :  "i muszę przyznać że tutaj na to towarzystwo ,przynajmniej wyższe rocznikowo, nie ma powodów narzekać" lizuska. zaraz, zaraz... to był komplement... eeeej, dokarmisz nas jeszcze jakimi? :)  
[29.07.06 1:04] MxmK :  *q* tam jest tylko egzamin... Parenacie osób poległo już na ćwiczeniach.  
[29.07.06 1:03] MxmK :  Ykhm... Jeżeli miałe to już i skoro dopiero hydepark Cię przekonał o trudnoci LdI, to zakłądam, że zaliczyła ten przedmiot. Więc dlaczego go sobie nie przepiszesz? ;>  
[29.07.06 1:02] q :  To zobacz: http://www.ii.uni.wroc.pl...Boole&action=go <http://www.ii.uni.wroc.pl/~wch/Dydaktyka/Logika/logkonc.phtml?password=Boole&action=go>   
[29.07.06 0:56] Ayertienna :  hmm w sumie jak czytam co tam jest to 90% mialam na wstepie do matmy + sama , to moze jakos bedzie w moim wypadku.. z lektury hydeparku wynika jednakowoz ze tego przedmiotu lekcewazyc zdecydowanie nie nalezy ;)  
[29.07.06 0:56] q :  Cóż, od tego jest tam edycja, by usuwać kontrowersyjne zwroty i dodawać je jako opinie...  
[29.07.06 0:54] yanoo :  "Materiał nie jest specjalnie ciężki (...)" - a ja się łudziłem, że będziemy krystaliczni i prawdziwi  
[29.07.06 0:49] q :  A btw. forum może mieć 2 administratorów, więc znalezienie nowego _nie jest_ /równoważne/ rezygnacji. Ta, wrócimy do tematu imprezy we wrzeniu, na razie wstępnie niech będzie 6 X.  
[29.07.06 0:48] MxmK :  *q*, nie jestem do końca przekonany... Ja bym optował za imprezą tydzień później, bo na początku na głowie będą zapisy, przeprowadzki, itp. Trzeba sprawę we wrzeniu przedyskutować...  
[29.07.06 0:46] MxmK :  To czy będziesz z daną osobą w jednej grupie to już kwestia zapisów... Oczywicie możesz i pewnie trafisz w grupie (szczególnie z logiki, choć nie minimalizowałbym analizy) na powtórkowiczów... Co do spadochroniarzy... To wg mojej definicji to są nowi studenci, którzy tak naprawdę w II nowymi nie są...  
[29.07.06 0:46] q :  MxmK, odn. powiadamiania: plakaty w nowym ii od poniedziałku powinny wystarczyć...  
[29.07.06 0:43] Ayertienna :  hmmm Railman chcesz powiedziec ze to NIE JEST chat? bu? :P  
[29.07.06 0:42] roolin :  jak widze iloć wpsiów to mi się nie wiem czemu Pirzmoszczur przypomina ;)  
[29.07.06 0:42] Ayertienna :  to wiem ;-) ale chyba zdarza się byc z jedna osoba w kilku grupach :) a poza tym przypuszczam ze spadochron bieze się z 1 warunku na 1. semestrze (czyli i tak to bylyby jedne zajecia, no bo chyba rpzedmioty są przepisywane?) + czegotam jeszcze innego  
[29.07.06 0:40] Railman :  omg, trzeba zalozyc chat :O  
[29.07.06 0:39] MxmK :  Jeżeli pytała się o co innego i nieopacznie to zinterpretowałem, to proszę rzuć winę na aktualną godzinę... ;>  
[29.07.06 0:36] MxmK :  Jeżeli chodzi Ci o jedną grupę ćwiczeniową na wszystkie zajęcia, to takie pojęcie tu nie obowiązuje... Każdy w systemie zapisów wybiera sobie grupę do której chce uczęszczać (m.in ze względu na godziny, prowadzącego), więc niekoniecznie ćw. z Logiki będziesz miała z tym samymi osobami co Analizę...  
[29.07.06 0:35] Ayertienna :  ad rezygnacji, istnieje dokladnie jeden przypadek w ktorym nie poszlabym tutaj - i nie ma nic wspolnego z wami :P (a poza tym jest bardzo mało prawdopodobny)  
[29.07.06 0:33] Ayertienna :  tym lepiej, czy to znaczy że jest szansa na bycie z częcią owych spadochroniarzy (swoja droga na mimuwie jakos tego pojecia nie bylo... moze dlatego ze z tamtad wyleciec to jednak duza sztuka), bo chyba o nich mowa, w jednej grupie? :>  
[29.07.06 0:32] Ayertienna :  to zależy chyba ile z nich zostanie na stałe ;-) q -> większoć ludzi w sumie tak robi, zdaje mi się (bo dziwne zeby tak sami z siebie wpadali na to ze np. grywam w ADOMa), ale nie przyznaja się do tego, ty przynajmniej się przyznajesz  
[29.07.06 0:32] MxmK :  Niestety, niekoniecznie wyższe rocznikowo... Przynajmniej niektóre przypadki... :)  
[29.07.06 0:31] MxmK :  *q* o pomysł imprezy integracyjnej nowego budynku chodzi mi po głowie od jakiego czasu, tylko zastanawiam się, jak drugi kierunek z którym "współdzielimy" budynek miałby być o tym poinformowany... Co do ew. rezygnacji... To chyba odrobinę demonizujesz. ;)  
[29.07.06 0:30] Ayertienna :  aaa rozumiem, rozumiem, ja odnalazlam forum to wy odnajdziecie mnie, tia? ;-) staram się po prostu mieć komplet informacji o bagienku w które się pakuję oraz o towarzystwie do pluskania w rzeczonym... i muszę przyznać że tutaj na to towarzystwo ,przynajmniej wyższe rocznikowo, nie ma powodów narzekać  
[29.07.06 0:29] MxmK :  A no chyba, że tak... ;> Wracając do zainteresowania... Jak się przyzwyczaimy do obecnoci większej iloci dziewczyn/kobiet w naszym otoczeniu (20 z tego naboru + dziennikarki), to zainteresowanie i związany z tym dyskomfort powinien trochę zelżeć.  
[29.07.06 0:28] q :  Hm, co powiecie na wynajęcie klubu w 1. piatek października i zrobienie imprezy integracyjnej? A w ogóle to z tym googlowaniem to moja wina chyba, a zaczęło się od tego, że po prostu chciałem sprawdzić, co słowo Ayertienna znaczy... Ehh pół roku walczę z tym, by nowi czuli się dobrze na forum i nie byli odstrzaszani, ale widać nie wychodzi. Jeli tak dalej będzie to trzeba będzie znaleźć nowego administratora, który będzie w stanie nad tym zapanować.  
[29.07.06 0:28] Ayertienna :  hmm odstraszyc reszte pierwszaczkow i tak moge, obawiam się ze po roku tej matmy nieszczesnej na UW moja psychika zostala trwale skrzywiona i biedne pacholęta długo ze mną nie wytrzymają... a imprezy widze, tzn widze 'Brak planowanych imprez dla osoby z twoimi uprawnieniami' dokładniej  
[29.07.06 0:28] MxmK :  *Ayer*... Zainteresowanie wzbudzasz, bo sama odnalazła to forum; nie tylko się zarejestrowała, ale zaczęła się sama odzywać (i to nie z probą o rozwiązanie zadań -- taki był debiut większoci zeszłorocznych pierszaków); bo dziewczyn w starym baraczku było mało (na pierwszym roku, mgr + lic ok. 6)  
[29.07.06 0:25] MxmK :  Paczesiowa... Przecież odstraszanie pierwszaków zostało oficjalnie zabronione przez admina... I nawet *uzi*, chyba, będzie musiał się podporządkować... choć wątpię akurat w ten przypadek... :>  
[29.07.06 0:24] Paczesiowa :  poza tym pomysl ze co teraz ciebie odstraszymy to ty w pazdzierniku jako zahartowana odstraszysz reszte pierwszakow  
[29.07.06 0:24] MxmK :  Co do samej umiejętnoci... Zdziwiłaby się, jak mało osób umie dobrze wyszukiwać/korzystać z Google... Co do wielkoci wyzwania... Każdy próbuje sił z tym, z czym sądzi, że sobie poradzi... :>  
[29.07.06 0:24] Ayertienna :  MxmK -> bo jestescie. tzn pewnie byscie odstraszyli, ale raz ze wzbudzanie tak intensywnego zainteresowania jest nieomal zabawne, a dwa - i tak nie mam nic lepszego do roboty zasadniczo, więc możecie nawet 100pytań do urządzać, jeli musicie :P  
[29.07.06 0:22] MxmK :  *Ayer*, to tym drugim przypadku trzeba było założyć topic... W tym pierwszym wykorzystać poniższe rozszerzenie forum by *q* (mam na myli to o imprezach -- jeżeli je widzisz, bo nie wiem; jeżeli nie widzisz, to też trzeba było topic założyć) :)  
[29.07.06 0:21] Ayertienna :  umiejetosc wyszukiwania informacji nie jest niczym niezwyklym i wymagajacym praktyki, a jesli nawet - to chyba wyszukiwanie czlowieka po unikalnym nicku to zbyt male wyzwanie, czyz nie? lepiej wyłuskalibyscie z wynikow rekrutacji dziewczyny na informatyce i wyszukiwali dane o nich na podstawie peselu :>  
[29.07.06 0:21] Paczesiowa :  ciagniemy patyczki kto ja zaprosi na kawe:] ja pierwszy: ciag-ciag  
[29.07.06 0:20] MxmK :  Z troszka się przestraszyłem, że my forumowicze faktycznie jestemy w stanie odstraszyć od studiowania na II. :>  
[29.07.06 0:20] Ayertienna :  ha! widzisz, piszesz 'nie przesadzajmy'.. a czy przypadkiem przeszukiwanie netu w poszukiwaniu bogu ducha winnej dziewczyny (zamiast zaprosić ją na kawę we wro, albo doradzic akademik o ludzkich warunkach) nie jest drobną przesadą? :P  
[29.07.06 0:19] MxmK :  Heh... Po prostu umiejętnoć wyszukiwania rozwiązań/informacji pomocnych jest przydatna do rozwiazywania zadań umieszczonych na listach. A że w trakcie wakacji list nie ma, to musimy jako podtrzymywać dobrą formę w tej umiejętnoci... Że wypadło na inwigilacje Twojej osoby, to już czysty przypadek. :)  
[29.07.06 0:18] Paczesiowa :  łiiii jestem gawiedź!!!!  
[29.07.06 0:18] Ayertienna :  twoja mina to a propos hydeparku? radosną alternatywą były dzi całeczki w fichtenholzu, więc sam rozumiesz..  
[29.07.06 0:17] Paczesiowa :  nie przesadzajmy nie kazdy tutaj ma jakis nalog...niektorzy za to podczas sesji wychodza z nalogu:]  
[29.07.06 0:17] Ayertienna :  szantażuje? (cos za duzo tu pisze..) nie, po prostu dla mnie sytuacja w której kto nie znając mnie zaczyna wyszukiwać o mnie jakies dane w necie (ku ogólnej uciesze gawiedzi) jest powiedzmy rednio przyjemna, to wszystko  
[29.07.06 0:17] MxmK :  :o  
[29.07.06 0:16] SaHaRR :  ide spac, dobranoc  
[29.07.06 0:14] Ayertienna :  [ad "nie bo reagujesz.."] bo nie wyłączam okna z forum i odswiezam wszystkie co jakis czas? no coz ;-) mozna to nazwac uzaleznieniem od forum, chociaz to raczej uzaleznienie od internetu... dzi np zdążyłam przeczytać 3/4 starego i cały nowy Hydepark prodziekana i nie uważam się za uzależnioną od niego :P  
[29.07.06 0:12] Ayertienna :  to może faktycznie powinnam się wstrzymać z przyjazdem do Wrocławia, bo takie nawyki/nałogi jako mi nie odpowiadają.. coż, pomocni jestecie, panowie :)  
[29.07.06 0:12] SaHaRR :  z tego co się orientuje studenci ii duza pija i jaraja ....:DDDDDDD  
[29.07.06 0:12] Paczesiowa :  nie bo reagujesz tylko bo siedzisz tu caly dzien na tym shoucie. jak nie przymierzajac ja...  
[29.07.06 0:10] MxmK :  Po co?... Taki nawyk/nałóg... Chyba się go nabywa podczas studiowania tutaj... ;> Ponadto są wakacje... Niektórym się nudzi... ;) I chciałbym zauważyć, że chyba kto kogo szantażuje... ;]  
[29.07.06 0:10] Ayertienna :  uzależniła? dlaczego, bo reaguje na co co nie jest dla mnie przyjemne, a takim jest ten pseudo wywiad z pomocą googli? po prostu nie bardzo rozumiem PO CO to robicie.. a chciałabym, bo jeli faktycznie 'mam się czego obawiać' to wolę się o tym przekonać PRZED złożeniem dokumentów...  
[29.07.06 0:07] Paczesiowa :  tak w ogole to szybko się pani uzaleznila od forum  
[29.07.06 0:00] Ayertienna :  chociaż, jeli nie macie nic przeciwko, to wydaje mi się że przyjemniej (i mniej inwigilująco) jest poznać mnie osobicie  
[29.07.06 0:00] Ayertienna :  ale brawo, zdjecie z kwietnia zeszłego roku, już lepiej, lepiej ;-)  
[28.07.06 23:59] Ayertienna :  i może nawet całkiem zamierzenie :>  
[28.07.06 23:59] Ayertienna :  i to obawiam się że doć intensywnie  
[28.07.06 23:58] Ayertienna :  szczerze mowiac to owszem, robicie to  
[28.07.06 23:36] Paczesiowa :  cztery z plusem. ale jak mawial borewicz "szkoda ze nie chlopiec"  
[28.07.06 23:33] Zuraw :  no ba, a czy kto ocenia naszą nową studentkę?  
[28.07.06 22:44] MxmK :  ;]  
[28.07.06 22:43] q :  Ej, stoi jak byk: "Użytkownik nie był oceniany." :D  
[28.07.06 22:41] MxmK :  *Zuraw*... To już było, jednak nie w postaci linku... :> BTW, nie wiem, czy przypadkiem jej nie odstraszasz od forum swoją inwigilacją i umieszczaniem tutaj jej wyników... Jeżeli okaże się, że tak, to bój się *q*... ;p  
[28.07.06 22:39] Zuraw :  hmmmm http://generacja.gadu-gad...hp?user=5201184 <http://generacja.gadu-gadu.pl/accountView.php?user=5201184> jej, google znajduje około 7,940 wyników. SZOK  
[28.07.06 22:15] Erotyczny :  *q* nie widziałem. Jestem za daleko, poza tym zwiedzanie pachniało późniejszym spożyciem więc na pewno bym się pojawił.  
[28.07.06 21:29] Railman :  http://www.mleczko.pl/rysunek_tygodnia.jsp  
[28.07.06 21:12] Railman :  ha, dziennikarze juz nie beda mieli haremow  
[28.07.06 20:57] MxmK :  :diab  
[28.07.06 20:43] roolin :  :O  
[28.07.06 20:41] q :  Na dziennikarstwo w tym roku dostało się wstępnie (tzn. mogą jeszcze nie donieć dokumentów) 111 osób, w tym 23 facetów.  
[28.07.06 20:15] q :  Btw. autor wpisu 905 w hydeparku chyba nie widział urządzeń chłodząco-grzejących -- przecież tam nie ma jak przyczepić roweru...  
[28.07.06 19:36] Paczesiowa :  20 lat? to faktycznie stara... gdyby tak z 8 lat mniej...  
[28.07.06 19:36] q :  desp jedzie do australii  
[28.07.06 19:31] yanoo :  a desp cię obejmie zboku...  
[28.07.06 19:24] maquina :  Ayer: pff pff pff pff. pff. mi 20 pasuje, ale to gryzienie jeszcze musimy uzgodnic.  
[28.07.06 19:23] roolin :  Dwa pierwszaki swego czasu gryzły na forum, ale kto im ostatnio ząbki chyba powybijał po się uspokoiło. A co do wzrostu to ja bym tam wyższy nie chciał być, szkoda głowy na obijanie jej po futrynach  
[28.07.06 19:16] Ayertienna :  a trzy ze pierwszaczki raczej same gryzą, niż są gryzione  
[28.07.06 19:16] Ayertienna :  dwa, że po pol roku adoracji uznalabym ze po prostu probujecie utrzymac panny na wydziale i nalezy przez sito przecedzac ewentualne komplementy ;p  
[28.07.06 19:15] Ayertienna :  pierwszaczka ma 20 lat i jest stara d.. a nie pierwszaczka, to raz ;]  
[28.07.06 19:02] maquina :  q: może pierwszaczki chcą być gryzione? ;p  
[28.07.06 18:41] desp :  *Ayertienna*, sądzę, że wystarczy pół roku adoracji, żeby przestać się obawiać oceniania ;)  
[28.07.06 18:38] Paczesiowa :  panowie! ledwo co pierwszaczka się dostala a wy juz o rozmiarach gadacie...  
[28.07.06 18:36] yanoo :  ja bym chętnie urósł ze 2 cm. może roolina bym dogonił ;]  
[28.07.06 18:33] Railman :  a podobno od dlugotrwalych cwiczen na drazku rozciaga się kregoslup i mozna 'urosnac' pare cm. Qpcie se drazki  
[28.07.06 18:27] Ayertienna :  że patrzą to jeszcze zdzierżę, gorzej że pewnie oceniają..  
[28.07.06 18:27] MxmK :  No ba... ;) (edit. To było bardziej do Paczesiowej, ale do kolejnych wypowiedzi w sumie też pasuje ;] )  
[28.07.06 18:26] Ayertienna :  desp -> powinnam do tego przywyknąć? :>  
[28.07.06 18:26] yanoo :  ONI patrzą! :D  
[28.07.06 18:26] Paczesiowa :  a kto matmy nie studiowal:]  
[28.07.06 18:25] desp :  permanentna inwigilacja!  
[28.07.06 18:25] Ayertienna :  do tego przyznałam się sama ;-) a nie studiuję na UW (tzn zasadniczo jeszcze studiuje) bo z Warszawy do Wroclawia chwilke się jedzie.. można to tak ująć ;-)  
[28.07.06 18:25] MxmK :  Paczesiowa, nie tylko on... Też to uczyniłem... Powinienem ić się leczyć? ;>  
[28.07.06 18:24] yanoo :  studiowała na I roku na UW na matmie. czemu dalej nie studiujesz (bo łączyć ii UWr z mat na UW się chyba nie da :P) to nie wnikam :]  
[28.07.06 18:22] Ayertienna :  a, co do numeru telefonu to zycze powodzenia, jedyny znany mi wynik ktory MOZE w google wyskloczyc jako moj nr tel. to 'Samsung' - i nawet to nie jest aktualne... [a nie, jest jeszce numer sprzed 2 lat... super, masz mnie, zdjecia sprzed poltora roku i telefon ktory utopil się w Brdzie 2 lata temu... poprosze co lepszego ;-)]  
[28.07.06 18:20] q :  Kto to zrobił już przede mną, 3 miesiące temu, i mi pisal o tym na gg.  
[28.07.06 18:17] Paczesiowa :  q ty kazdego pierwszaka przepuszczasz przez googla?  
[28.07.06 18:16] Ayertienna  coz, uroki nicka 'jedynego w swoim rodzaju'... a zdjecia na gronie (bo jak rozumiem o nich mowa) są sprzed kilku lat  
[28.07.06 18:14] yanoo :  poza tym.. z problemem "3/4 kandydatów nie przebrnie tego progu" oswoiła nas już logika na 1. semestrze ;]  
[28.07.06 18:14] q :  Oj bo znalezienie Twojego zdjęcia jest strasznie trudne... W googlu wyskakuje tuż pod numerem telefonu ;).  
[28.07.06 18:13] Ayertienna :  180 :P  
[28.07.06 18:13] yanoo :  no to ujawnij ;]  
[28.07.06 18:13] Ayertienna :  a co do pochodzenia to RPG dawno dawno temu, postac elficka, imie mialo nic nie znaczyc (potem okazalo się ze Ayer znaczy po hiszp. wczoraj, ale została ta 'Wczorajsza' ;-) )  
[28.07.06 18:13] Ayertienna :  ujawnic moge jedynie wzrost. 3/4 z was poprzestanie na tym uznajac ze za wysokie progi (hopefully :P)  
[28.07.06 18:07] roolin :  a ja bym zapytał jedynie o pochodzenia nicka, moge?  
[28.07.06 18:01] yanoo :  i jeszcze długoć i kolor paznokci, wzrost oraz model procesora :P  
[28.07.06 17:53] Railman :  zaraz padna pytania o wage, kolor wlosow i grupe krwi :P  
[28.07.06 17:51] yanoo :  Ayer? brzmi wygodniej :]  
[28.07.06 17:41] desp :  *Ayertienna*, takie pierwszaczki, co same na forum trafiają, to chyba się nie dają łatwo gryźć ;)  
[28.07.06 17:25] Paczesiowa :  mxmk cicho bo się rozmarzylem:]  
[28.07.06 17:22] Ayertienna :  yanoo -> moze po prostu 'Ayer'? jak w ajerkoniaku, jedna literke tylko zmieniasz ;-)  
[28.07.06 17:20] yanoo :  LMAO: http://video.google.com/v...42275062#12m10s <http://video.google.com/videoplay?docid=-70449010942275062#12m10s> (za: http://www.futrega.org/st...ish_django.html <http://www.futrega.org/stek/2006/07/20/grono_english_django.html> )  
[28.07.06 17:10] MxmK :  Paczesiowa... Wiemy, że Ciebie tylko pierwszaki z podstawówki interesują... ;>  
[28.07.06 17:10] MxmK :  yanoo... I już jej zdradziłe tajemnicę, już zepsułe niespodziankę... Przyznaj się. Chciałe się podlizać... ;p  
[28.07.06 16:58] Paczesiowa :  ale nie kazdy ma ochote na pierwszaczke:]  
[28.07.06 16:55] yanoo :  Ayertienna (jak ja nie lubię trudnych w pisowni ksywek) -> no nie wiem, czy taka większa. tutaj grasuje stado wygłodniałych wilków... :]  
[28.07.06 16:33] Ayertienna :  q ->moze od razu 'proszę nie gryźć pierwszaczek'? mniejsze wymagania, większa szansa na zrealizowanie proby (mam nadzieje)  
[28.07.06 15:29] MxmK :  Hehe... Będzie ciekawie. :>  
[28.07.06 15:04] q :  http://bleh.pl/tajemnicze_r bueheheh  
[28.07.06 14:56] yanoo :  "nasza nowa siedziba, którą współdzielimy z Instytutem Informatyki" - y... się chyba zapędzili :]  
[28.07.06 14:42] yanoo :  wypowiedzi JMA były, ekhm... no, efektowne :P  
[28.07.06 14:42] q :  Nawet mają zdjecie tytanica ( http://www.dziennikarstwo...atedrze/galeria <http://www.dziennikarstwo.uni.wroc.pl/?q=o-katedrze/galeria> )  
[28.07.06 14:34] q :  Biorąc pod uwagę wypowiedzi JMA, będzie dużo atrakcyjnych dziewczyn w naszym instytucie, więc nowe informatyczki już nie będą miały tak trudno/łatwo, jak kiedy ;).  
[28.07.06 14:30] nirvanka :  sprawiacie wrażenie sępów, które dawno nie widziały padliny :)  
[28.07.06 14:27] Zuraw :  faktycznie, nowa kobieta w ii. W dodatku ma urodziny 4 dni po moich  
[28.07.06 14:20] desp :  gryźć? tu się raczej kto do obliniania przymierza ;)  
[28.07.06 14:13] q :  Proszę nie gryźć pierwszaków. Proszę nie gryźć pierwszaków. Proszę nie gryźć pierwszaków.  
[28.07.06 13:24] MxmK :  :D  
[28.07.06 13:08] yanoo :  o mamma mia, nowa kobieta wypowiada się na forum... ale mamy szczęcie, Uzi na wakacjach, może nikt jej nie spłoszy :D  
[28.07.06 12:27] kamil :  na stronie KLO podane zostaly wyniki 2-giej czesci : http://www.ii.uni.wroc.pl...egzamin2006.doc <http://www.ii.uni.wroc.pl/~lorys/AiSD06/wyniki_egzamin2006.doc>  
[28.07.06 12:27] Ayertienna :  owszem, jest z KPTh... aczkolwiek odnosi się nie do umiłowania Th jako takiej, daleko mi do tego  
[28.07.06 11:54] desp :  *Ayertienna*, chodziło mi o Twój podpis... miałem nadzieję, że jest z Cyber Joli Drim, a nie bezporednio z Księgi Prawa :>  
[28.07.06 11:37] Ayertienna :  hmm? nie wiem jaki próg ani jaki hell, ale 20 dziewczyn przyjęli zdaje się, sądząc po peselach (o ile ta bajka o rozpoznawaniu płci po peselu ma rację bytu)  
[28.07.06 10:49] cinu :  Wie ktos jaki byl w tym roku prog?  
[28.07.06 8:44] q :  166 osób przyjętych na infę :o . Anagram szatana :> .  
[28.07.06 1:45] desp :  a konto na hell masz? :>  
[28.07.06 0:52] Ayertienna :  wyniki rekrutacji już są, jakby to kogo interesowało... mnie np owszem, na 99% będę u was straszyć od października :)  
[28.07.06 0:02] MasterOfDisaster :  .  
[27.07.06, 23:17] Railman :  http://groups.google.com/...643543b8d?hl=en <http://groups.google.com/group/pl.sci.medycyna/browse_thread/thread/1645cd7643543b8d?hl=en>   
[27.07.06, 21:31] yanoo :  http://fotoeditor.pl/ niby nic, a cieszy. swoją drogą - jak fajnie, że flash idzie w odstawkę  
[27.07.06, 19:32] desp :  http://wiadomosci.wp.pl/k...,wiadomosc.html <http://wiadomosci.wp.pl/kat,1515,wid,8417670,wiadomosc.html>  
[27.07.06, 19:12] Paczesiowa :  desp przciez to oczywiste ze to jakis metal dla jaj prowadzi:]  
[27.07.06, 18:28] desp :  http://crazy-girl94.bloog.pl/  
[27.07.06, 17:13] q :  Lista 9 w trakcie konstrukcji, wyniki egzaminu będą jeszcze weryfikowane, heh :).  
[27.07.06, 15:52] nirvanka :  Pojawiło się na stronie KLO: "Egzamin poprawkowy odbędzie się 14-tego wrzenia (początek: godz. 9.00)"  
[27.07.06, 13:46] nirvanka :  http://wiadomosci.gazeta....0.html?skad=rss <http://wiadomosci.gazeta.pl/wiadomosci/1,53600,3509500.html?skad=rss>  
[27.07.06, 11:12] yanoo :  http://akcjaobywatelska.wordpress.com/  
[27.07.06, 8:31] kshaczek :  w ameryce jedyne co europejskie to jest heineken ktory smakuje jak pol polskiego heinekena. w sklepie widzialem produkt ktory się nazywal "Polska kielbasa". A w ogóle to zaprzyjaznilem się z lokalna polonia i pije polskie harnasie i wodke. 1:1.  
[27.07.06, 3:27] Railman :  a w Ameryce bija Murzynow  
[27.07.06, 0:29] pushq :  homies, wyjeżdżam w Bieszczady, do zobaczenia za dwa tygodnie (albo do najbliżeszgo hotspota :p)  
[27.07.06, 0:17] MasterOfDisaster :  Nie wiem jak w USA, ale tu mozna dostac w sklepach pieczywo z calego swiata (konkretniej polskie pieczywo w polskich sklepach), wiec 1:0 dla UK  
[26.07.06, 23:05] pushq :  bo ja wychodzę naprzeciw standardom  
[26.07.06, 22:44] kshaczek :  i zjebales slasha, masz xml validation error.  
[26.07.06, 22:35] Erotyczny :  mistrz ciętej riposty - ale ty nie dostajesz 36 złotych za godzinę stania przy tamie  
[26.07.06, 22:28] pushq :  <znęcanie_się> a u nas mamy CHLEB <\znęcanie_się>  
[26.07.06, 22:08] kshaczek :  w warszawie w mcdonaldzie jest to samo  
[26.07.06, 19:46] desp :  to jaki nonsens :)  
[26.07.06, 19:37] kshaczek :  jo, tutaj tez, przed 10:30 sa sniadaniowe hamburgery i sniadaniowe kanapki (ktore moim zdaniem sa obrzydliwe)  
[26.07.06, 18:56] Erotyczny :  na włanie miałem ochote na co niezdrowego, poza tym nazwy tych brekfastów mi nic nie mówiły a za funta (moge sobie 10 jajek kupić i zrobić ...  
[26.07.06, 17:46] nirvanka :  Erotyczny, bo przed 10.30 to sprzedaja tylko jajka na bekonie i burgery, ktore nie nazywaja się burgerami i sa w jakich miesznych breakfast zestawach.  
[26.07.06, 17:23] Paczesiowa :  jak nie wiesz o co chodzi z komputerem to polecam ponownie misia obejrzec  
[26.07.06, 16:20] Erotyczny :  co komputer ?a co do anglii to jeszcze ruch inną stroną, na sprzedaż piwa po 23 trzeba mieć koncesje, nie sprzedali mi hamburgera w macu bo była 8 am a przed 10.30 am nie sprzadają  
[26.07.06, 15:57] Paczesiowa :  komputer!  
[26.07.06, 15:51] Railman :  a podobno jak taki malutki wypijesz w Londynie to dwa dni nieprzytomny jeste. Taką rudą wódę piją, na myszach  
[26.07.06, 15:40] Erotyczny :  lol AMD obniżyło ceny! x2 już od 600 złotych |!  
[26.07.06, 15:24] Erotyczny :  dalej twierdzę że kraj jest pojebany - dwa krany nad jedną umywalką, wiatło w łazience łączasz pod sufitem w przedpokoju,jedzenie niedobre,anglicy to lenie. ALE lata panowania nad 1/4 globu zrobiła swoje i nikt nie weźmie kasy z portfela i wyrzuci reszte tylko zaniesie na policję...  
[26.07.06, 13:54] desp :  ten artykuł o ransomware jest napisany w tragiczny sposób  
[26.07.06, 10:27] Asgaroth :  " 
[23.07, 9:41] Erotyczny: tak w ogóle to jest pojebany kraj, ", " [dzisiaj 2:55] Erotyczny: (...) wiadomo...kraj ... " Rzetelnie oceniasz, nie powiem ;) dsk: przykro mi z powodu telefonu.  
[26.07.06, 8:20] dsk :  Dla porównania - mi przedwczoraj niepostrzeżenie wyciągnęli telefon z kieszeni na Rynku... :|  
[26.07.06, 2:55] Erotyczny :  pozytywna wiadomoć - portfel się znalazł - poszedłam zgłosić na policję i tam był - w dodatku z pieniędzmi (!), wiadomo...kraj ...  
[26.07.06, 2:21] d* :  https://www.youos.com/  
[25.07.06, 23:59] nirvanka :  ja idę pograć na jakim publicznym w ET- pewnie Sunny server No 1 jakby co:)  
[25.07.06, 21:59] pushq :  http://www.allegro.pl/ite...or_gasnica.html <http://www.allegro.pl/item115037745_doskwiera_ci_upal_osobisty_wentylator_gasnica.html>   
[25.07.06, 19:51] Zuraw :  nirvanka: dobrze mowisz, jestem za  
[25.07.06, 19:23] nirvanka :  A moze by tak jakies ET? :)  
[25.07.06, 19:15] q :  Nikt nie jest doskonały... ;)  
[25.07.06, 18:27] pushq :  MasterOfDisaster: ale ja nie chodzilem do IIILO  
[25.07.06, 16:06] Zuraw :  http://hack.pl/aktualnosc...przyszlosci_181 <http://hack.pl/aktualnosci/ransomware_nie_do_zlamania_w_przyszlosci_181>  
[25.07.06, 14:04] SaHaRR :  czy kogos Wam ten poczatkowy opis przypomina :-)? Bo mi tak hehe. Mozna by takie cos zrobic o naszych "perelkach"  
[25.07.06, 14:03] SaHaRR :  http://mimuw.wikispaces.com/Diks%2C+Krzysztof  
[25.07.06, 13:54] Paczesiowa :  i w smurfach bylo...  
[25.07.06, 9:57] yanoo :  Crichton rlz!  
[25.07.06, 1:47] q :  Pisał o tym też M. Crichton w "Linii czasu".  
[25.07.06, 0:32] MasterOfDisaster :  owszem, 3 klasa LO :>  
[24.07.06, 23:53] pushq :  oglądałe całe ?  
[24.07.06, 23:41] MasterOfDisaster :  pushq, a ty fizykę w LO miales?  
[24.07.06, 23:37] pushq :  fajne: http://www.videosift.pl/story.php?id=1667 chyba nikt z nas (oprócz uziego) nie miał o tym pojęcia ;)  
[24.07.06, 20:02] desp :  albo ziemniakiem...tzn. kartoflem  
[24.07.06, 14:41] Paczesiowa :  ty to bys sam nie pogardizl 12 letnim bahorem w ladnym mundurku...  
[24.07.06, 13:05] pushq :  może i te mundurki mają jakie tam plusy... rozchodzi się jednak o to, aby te plusy nie przesłoniły wam minusów.  
